unresolved_claim,impact_level,missing_evidence,verification_plan,status,review_date
"Relative incrementality performance of MNTN vs Tatari vs Viant vs TTD.",High,"Standardized third-party lift studies using comparable methodology.","Collect third-party measurement studies and require method disclosure (sample, holdout design, attribution window) before ranking changes.",Open,2026-03-01
"Tatari financial durability vs public peers.",High,"Audited revenue, margin, cash/debt profile.","Track financing events, strategic partnerships, and any audited disclosures; use counterparty checks from agency feedback.",Open,2026-03-01
"Vibe financial durability and runway.",High,"Audited financial statements or independent diligence reports.","Monitor future funding rounds, debt activity, and independent coverage; down-weight claims until validated.",Open,2026-03-01
"tvScientific standalone economics after Pinterest acquisition.",High,"Standalone revenue/margin contribution disclosures.","Track Pinterest earnings calls/filings for segment commentary and integration KPIs.",Open,2026-03-01
"Supply-path fee transparency comparability across platforms.",High,"Path-level fee and win-rate data by inventory class.","Request path transparency in RFP-style templates and compare effective CPM-to-outcome conversion.",Open,2026-03-01
"True publisher-direct mix by platform (not just announcement count).",High,"Measured spend share routed via direct pathways.","Build quarterly supply-path scorecard using disclosed integrations and partner confirmations.",Open,2026-03-01
"SMB price floors and minimum-spend thresholds across competitors.",Medium,"Published rate cards or validated buyer quotes.","Capture live platform pricing via test accounts/agency interviews.",Open,2026-03-01
"Enterprise agency win-rate by vertical.",High,"Deal-level win/loss and share-of-wallet data.","Establish confidential agency pulse interviews monthly and triangulate by vertical.",Open,2026-03-01
"Measurement methodology consistency in vendor case studies.",Medium,"Detailed methodology metadata for each case (control group, sampling, lookback windows).","Tag each case study with a quality rubric and exclude non-comparable studies from scorecard deltas.",Open,2026-03-01
"Impact of creative automation tooling (QuickFrame and peers) on sustained ROAS.",Medium,"Independent longitudinal performance analyses.","Track campaigns over multiple quarters and compare decay/retention effects.",Open,2026-03-01
"Convergent TV workflow advantage quantification for Tatari.",Medium,"Benchmark data comparing convergent vs CTV-only workflow outcomes.","Collect operational KPI comparisons from agencies using both models.",Open,2026-03-01
"Pinterest+tvScientific integration velocity.",Medium,"Product milestone evidence and adoption metrics.","Track release cadence, API docs, and advertiser case studies quarter by quarter.",Open,2026-03-01
"Viant direct-access integrations impact on performance outcomes.",Medium,"Before/after campaign economics from direct path usage.","Monitor investor updates and request partner case methodology where possible.",Open,2026-03-01
"TTD CTV-specific take-rate and margin visibility.",Medium,"CTV-only economics disclosure detail.","Infer from filings and management commentary; maintain uncertainty penalty until disclosed.",Open,2026-03-01
"Durability of ad-supported viewing share at current levels.",Medium,"Multi-quarter continuity data beyond seasonal peaks.","Update monthly using Nielsen Gauge and quarterly ad-supported reports.",Open,2026-03-01
